regime,regimeLabel,factorKey,factorLabel,factorValue,metricKey,metricLabel,ratioMean,ratioCount
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.8943017575053752,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,sumQueueSizes,Total Queue Size (Final),0.9585008470504943,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.7196206156471135,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8225527663459931,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,throughput,Network Throughput (Final),1.13953547020402,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,arrivalUniformMax,Uniform Arrival Max (veh/step/boundary stream),40,vehiclesInNetwork,Vehicles In Network (Final),0.9652909774105928,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),2,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.9030904809677779,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.8925197278267175,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.8957359815162721,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.8943017575053752,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.8994082858515484,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.9109633567058739,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,sumAvgWaitTimes,Sum of Average Wait Times (Final),0.9090019904554724,1
